id,name,summary,listing_url,picture_url,host_id,neighbourhood,street,zipcode,latitude,longitude,room_type,amenities,price,extra_people,minimum_nights,calculated_host_listings_count,availability_365
9835,Beautiful Room & House,No summary,https://www.airbnb.com/rooms/9835,https://a0.muscache.com/im/pictures/44620/5a5815c6_original.jpg?aki_policy=large,33057,Manningham,"Bulleen, Victoria, Australia",3105,-37.77268,145.09213,Private room,"{Internet,Wifi,""Pets live on this property"",Dog(s)}",61,$22.00 ,1,1,365
10803,Room in Cool Deco Apartment in Brunswick East,"A large air conditioned room with queen spring mattress bed in a vintage apartment. Located right outside is a tram to the city just 19 minutes away. This area is known for its arts culture, live music, cafes and international food.",https://www.airbnb.com/rooms/10803,https://a0.muscache.com/im/pictures/31323790/90b6ac18_original.jpg?aki_policy=large,38901,Moreland,"Brunswick East, Victoria, Australia",3057,-37.76651,144.98074,Private room,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",35,$15.00 ,3,1,194
12936,St Kilda 1BR+BEACHSIDE+BALCONY+GARAGE+WIFI+AC,"RIGHT IN THE HEART OF ST KILDA! It doesn't get more central than this! A fabulous north facing balcony apartment that offers right in the heart of the action location, yet a quiet spot with balcony views and only minutes to cafes, restaurants, shopping, grocery stores, supermarkets, St Kilda Beach, Albert Park Lake, home of the Grand Prix and trams into Melbourne City Centre right on your doorstep. The perfect base for your Melbourne adventure!",https://www.airbnb.com/rooms/12936,https://a0.muscache.com/im/pictures/59701/2e8cdaf3_original.jpg?aki_policy=large,50121,Port Phillip,"St Kilda, Victoria, Australia",3182,-37.85976,144.97737,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed""}",159,$0.00 ,2,17,82
15246,Large private room-close to city,"Comfortable, relaxed house, a home away from  home! This is a shared house, you will be sharing with me, plus the occasional other guest. Rooms are large so you will have plenty of private space.",https://www.airbnb.com/rooms/15246,https://a0.muscache.com/im/pictures/0a96c6f9-1f8d-435e-969f-c38874b8ddad.jpg?aki_policy=large,59786,Darebin,"Thornbury, Victoria, Australia",3071,-37.75897,144.98923,Private room,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",50,$20.00 ,2,3,0
16760,Melbourne BnB near City & Sports,No summary,https://www.airbnb.com/rooms/16760,https://a0.muscache.com/im/pictures/509974/5a9cf3d5_original.jpg?aki_policy=large,65090,Port Phillip,"St Kilda East, Victoria, Australia",3183,-37.86453,144.99224,Private room,"{Internet,Wifi,Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,Iron,""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed""}",69,$20.00 ,1,1,274
38271,Melbourne - Old Trafford Apartment,Please note: No booking will be accepted with children under the age of 13 years.  Accommodation is non smoking in apartment & on grounds.  All visitors must be announced during your stay before entering the property.,https://www.airbnb.com/rooms/38271,https://a0.muscache.com/im/pictures/1182791/3bf4beab_original.jpg?aki_policy=large,164193,Casey,"Berwick, Victoria, Australia",3806,-38.05725,145.33936,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub,""Hot water"",""Host greets you""}",99,$30.00 ,1,1,353
41836,CLOSE TO CITY & MELBOURNE AIRPORT,Easy to travel from and to the Airport; quiet and safe neighbourhood; a spacious and sunny room; backyard for sun baking; a friendly host who are easy going and super friendly! I would like to make your journey more comfortable!,https://www.airbnb.com/rooms/41836,https://a0.muscache.com/im/pictures/569696dd-1ad0-4646-bd87-30aa4cc4d2c0.jpg?aki_policy=large,182833,Darebin,"Reservoir, Victoria, Australia",3073,-37.69729,145.00082,Private room,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Host greets you""}",50,$20.00 ,7,3,0
43414,Home In The City,No summary,https://www.airbnb.com/rooms/43414,https://a0.muscache.com/im/pictures/a50d7057-1523-4389-b6a0-2f20e6dc7733.jpg?aki_policy=large,189682,Melbourne,"East Melbourne, Victoria, Australia",3002,-37.81027,144.98592,Private room,"{TV,Pool,Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}",99,$25.00 ,15,1,62
43429,Tranquil Javanese-Style Apartment in Oakleigh East,"Study the exquisite detail of the antique Javanese garden wall, or meditate beside the calming fishpond. BBQ on the huge covered deck, also a perfect place for catching some morning rays. Or settle back with a book from the well-stocked shelves.",https://www.airbnb.com/rooms/43429,"https://a0.muscache.com/4ea/air/v2//pictures/32bd863a-9149-48d9-ba1a-e0772e744b36.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",189684,Monash,"Oakleigh East, Victoria, Australia",3166,-37.8996,145.11447,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Flat path to guest entrance"",""Hot water kettle"",""DVD player"",""Gas oven"",""Breakfast table"",""Pillow-top mattress"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials"",""Fixed grab bars for shower"",""Fixed grab bars for toilet""}",98,$0.00 ,2,2,219
44082,Queen Room in Beautiful House,"Light filled private room with Queen bed tastefully decorated with desk, lamps and roll down shutters - to keep you cool in summer and dark for sleep.  Situated right at the back of the house and down the passage way the room is quiet and private.",https://www.airbnb.com/rooms/44082,https://a0.muscache.com/im/pictures/103597655/c688f3bc_original.jpg?aki_policy=large,193031,Frankston,"Frankston, Victoria, Australia",3199,-38.14932,145.14157,Private room,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Lake access""}",59,$10.00 ,2,6,318
