listing_id,id,date,reviewer_id,reviewer_name,review_scores_rating,comments
50492,328655441,2018-09-26,3165224,Anonymous,94,"Хороший вариант жилья, но есть несколько ньюансов. Дом был очень холодным, когда мы приехали. Он прогревался ещё дня полтора до комфортной температуры. Фотографии немного отличаются от оригинала из-за обработки и замены кресла. В остальном, всё было нормально."
111001,331488322,2018-10-02,98768551,Anonymous,80,"That was my first photosession experience and I am really glad, that choosed Yulia. It was a great time: we visited a lot interesting unusual places, had a coffee break on a roof, i got a lot advises about travelling in tokyo and awesome photos (most of them in motion). Thanks a lot!
Extremly highly recommend!"
70328,365929823,2019-01-02,37944575,Anonymous,88,"Great Memories to take with us!
     Great Beach and amazing cafes/ restaurants around the corner from Raewyns pad. We especially enjoye (Website hidden by Airbnb) Tommy Ruffs-Amazing fish tacos and fish and chips...house made iced tea was really yummy!!!Always crowded, be prepared to wait for a delicious meal.
     We also Loved YOMG, Great Grass Fed beef burgers, Chicken sandwiches, yummy frozen yoghurt to die for!!!
   Raewyns place has everything you can think of, her continental breakfast is really a generous offer-her kitchen is well appointed!! We slept comfortably for 9 nights!!! We Loved our talks with Raewyn about many things, She really made our stay comfortable and memorable!!
Jasper, Raewyn’s cat is just so adorable and Lovable- it was hard to say goodbye!!
The whole ground level was ours, we felt very much that we had our privacy, and since Raewyn has a very active lifestyle, she is gone for a good part of the day most days, seems as if we had the whole place to ourselves a lot!!
Definitely recommend to anyone wanting  to visit this area, the beach life is #1."
241263,23419254,2014-11-30,8791646,Anonymous,0,"Lovely place and a beautiful host, thank you Gloria "
261558,227231391,2018-01-14,150535408,Anonymous,100,The host canceled this reservation 3 days before arrival. This is an automated posting.
241263,331153016,2018-10-01,216404196,Anonymous,93,"Gloria is a kind and friendly host with a strong personality charm.The  life staying at here is quiet and comfortable and Gloria is a person who knows love ,when i was upset  she was comforting me . I am very touched ,thank you Gloria"
241263,53127934,2015-11-05,44477720,Anonymous,96,"Gloria is very very friendly and enthusiasm.The apartment is very clean and quiet,we lived here very comfortable.Gloria prepare fresh fruit and delicious bread for us everyday.She is warm like a mother."
297350,20956680,2014-10-08,20789564,Anonymous,91,"       住Ryan家很不错,干净､房子装修的也很特色,因为英语不太好,所以我到那基本没怎么跟房东沟通,只是在入住的第一晚房东太太给我们介绍了下｡房东那里离墨尔本市区开车半个小时,自驾的话选择那里很不错｡那附近还有一家吃牛排和披萨的店很不错,就在close 附近｡｡｡总的来说,住的很不错"
247006,132240173,2017-02-16,109929287,Anonymous,60,A lovley house in a grate location with a grate host that takes good care off his guests.
66754,251966948,2018-04-09,110767502,Anonymous,0,"離市中心很近,周邊生活機能很不錯,有酒吧有餐廳,也有超市可買東西回家裡烹煮,房內設施俱全!享受當地生活,治安也很好,小小缺點就是衛浴用品僅一次提供,用完只能自行購買!"
297350,70679990,2016-04-19,59981518,Anonymous,90,"很有品位的房子,充满了东方的神秘气息,男女主人超帅,大狗罗密欧也很友好,叼着他的心爱玩具跟你玩｡周围环境也很好,离市区和机场都是20多分钟的旅程,是自驾游的好住宿｡"
41836,14839492,2014-06-27,16814258,Anonymous,95,"It is the the 1st time to due with airbnb, and Diana and Rob are friendly couple will give you good advise. Strongly commanded! "
74548,38855339,2015-07-19,25413665,Anonymous,87,"Dear Mario

The room is comfortable and clean. Thanks for the prompt directions. One suggestion for the direction:after arriving at Southern Cross station, the free hotel transfer service covers the Milano Apartments. I was wondering around for a while trying to get the right bus or tram to  your place until getting your further advices.

Regards Alex"
78143,65374533,2016-03-13,38713647,Anonymous,90,"很幸运在Julie家住了两晚,我们飞机很晚到墨尔本,Julie在房间等我们让我们很感动｡房间非常干净整洁,床十分舒适,环境很好很安静,我很喜欢｡"
120487,175411132,2017-07-29,138509802,Anonymous,93,"适合家庭住,私密性很好!"
210568,200284316,2017-10-05,150020341,Anonymous,100,THE location is very convenient and cozy. The room is spacious and quiet as well as landlord is very kind and friendly.
120487,296043001,2018-07-25,161533459,Anonymous,0,The host canceled this reservation 4 days before arrival. This is an automated posting.
230790,238794146,2018-02-27,166289327,Anonymous,0,房间很好非常适合家庭租住
297350,31515422,2015-05-06,27675234,Anonymous,99,Nice apartment and Ryan was helpful and kind~really good choice
307615,341852598,2018-10-28,51135152,Anonymous,99,"地段很不错,房主热心"
331605,27132089,2015-02-26,25684107,Anonymous,96,"Good communication with Dina,Good location of property.Good equipments and tidy rooms. Easy access to property and helpful assistance from apartment concierge.We are very satisfied.Quick feedback and solved  by Dina and the reservation staff when there some problem with shower pipe.Of course we may stay here again and will recommend to our friends.Thanks for Dina , and your helpfulness and good communication gave us an good holidays in Melbourne where we visit first time by driving van and made all to be easy. Jinqiu Wang "
76867,199756351,2017-10-03,141470777,Anonymous,97,"Judy is a lovely host who always make us feel like at home. We had a great holiday here! This is a wonderful place to stay in Melbourne,it's very clean and comfortable. I will recommend this apartment to my friends!"
74548,154112565,2017-05-23,82617559,Anonymous,90,"Mario and his girlfriend are very friendly and helping me a lot. The location was pretty good and the room also clean and tidy,support whatever you want the wifi was pretty fast .I really enjoy this short trip .Thx Mario"
280698,412135396,2019-02-14,214095102,Anonymous,95,"在这里开心地度过了中国的春节!房屋宽敞,设施非常齐全,真正像个家一样,房东反应迅速,强烈推荐这个好住处!再次感谢房东!很棒!免费停车位方便!"
268849,129589020,2017-01-31,46909648,Anonymous,100,"One should do at least two things out of impulse in his life: to forget yourself in a relationship and to go on a trip without a plan. That's why I'm here, with my darling.
Melbourne is a city that has a very good sense of design, the same as Mia's (Website hidden by Airbnb) quite a cool place to stay, dark style interior, good taste decoration and  graceful staff. When we came back after wandering outside a whole day, we felt like going home.
It's our first time spending Chinese new year in a foreign country, Mia's place impressed us most. Some say hi, some say bye, maybe we will come back again. Best wishes to Mia!"
150729,449025442,2019-05-05,461191,Aarin,90,"Ramona is spot on - everything done warmly and professionally.  Clean, tidy, responsive, hospitable and a super-comfy bed!  Perfect and good value."
256186,111801956,2016-11-01,10164604,Aaron,0,"Great place in the heart of Collingwood. Everything was super easy. The place is gorgeous, super clean and very comfortable. A+++"
